"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ST6GALNAC5",198.50111577162,-2.97603833095374,0.791124828747093,-3.76178097667204,0.000168707755104968,0.0131517619089917
"F10",122.682490876279,-2.97450596790324,0.806595449094928,-3.68772966825054,0.00022626384292675,0.0164540963937155
"LDLR",1986.63680259303,-2.94634436667222,0.717635697641901,-4.10562681922554,4.03219991236487e-05,0.00421868915831174
"SCARA5",163.088221667126,-2.9416577726324,0.855152965178453,-3.4399199820567,0.000581886196554902,0.0335280296514949
"TTLL10",20.2933462181427,-2.93615742558462,1.54489429154493,-1.9005555536414,0.0573602518906971,0.596599140495589
"IL5RA",40.5361416950656,-2.92867612214598,1.18568771855621,-2.47002315728815,0.0135104305895806,0.277645655056434
"SCN2B",64.4450632981995,-2.9282547964417,0.977348066359576,-2.99612277062036,0.00273436321004569,0.0966323958430147
"PRDM6",159.039423542571,-2.92231881015033,0.763629722995911,-3.82687933974773,0.000129778089125444,0.0106384585121749
"KCNK3",632.527905633349,-2.91957257765174,0.730930337794604,-3.99432398231111,6.48790986205049e-05,0.00621549581543307
"HCP5",38.6862467964477,-2.91094717586487,1.31584346556709,-2.21222907742324,0.026950840687971,0.410280906238381
"CD300E",297.688033817677,-2.90974703333882,0.74223929934492,-3.92022766230094,8.84653571193673e-05,0.00777273245452651
"PODN",161.491944610506,-2.8953430795644,0.743454161557224,-3.89444733687397,9.84228710418653e-05,0.00841515547407948
"RXFP2",20.298905531161,-2.89060861512378,1.80448373902226,-1.60190338799618,0.10917697519642,0.778234619699089
"CCN3",29.1910082536932,-2.8877434595754,1.37759565157179,-2.09621992946957,0.0360626858233921,0.477415400531172
"DMBT1",3098.51368127989,-2.88424107008195,0.614133390644533,-4.6964407309867,2.64734004608906e-06,0.000501198199439933
"CDC42EP5",16.4113476764099,-2.88116665274899,2.34212914851624,-1.23014849739359,0.218641501986551,0.956107280210509
"SNTN",44.2899682194886,-2.8769008337819,1.47248641341012,-1.95377071569666,0.050728338976594,0.572150904074308
"FREM1",109.803752530495,-2.87355486028709,0.801389844260594,-3.58571409516474,0.000336157087497366,0.0223678082111741
"AOC4P",18.3807980544913,-2.86239807109898,1.59416078885527,-1.79555167277348,0.0725658477168243,0.663719488570556
"WSCD1",105.774976623649,-2.86127733603972,0.810130237006968,-3.53187327831477,0.000412627039300546,0.0256328429921741
"SCN4B",682.242465867948,-2.86029121552783,0.563635467735368,-5.07471828737145,3.88070506740504e-07,9.75051961529923e-05
"CHL1",87.5217861848183,-2.8471523345087,1.22333966082014,-2.32736044264267,0.0199460892850972,0.350113308941392
"PTGER1",30.1631622617794,-2.84482650934337,1.27765624605627,-2.22659773951286,0.0259741701768629,0.403209785957052
"EFCAB1",37.1812044395924,-2.82539425375409,1.41042517069122,-2.00322166142952,0.0451535016188019,0.536324238172559
"CHIA",16.5571907568579,-2.82361346334284,1.68037179283922,-1.68035042921778,0.09288915469563,0.726697522950873
"PCSK9",147.251066670539,-2.80612070243493,0.786578496867534,-3.56750243441692,0.00036040003201429,0.0232985435330213
"AC106897.1",34.4966309378065,-2.7980833637093,1.28117773183343,-2.18399312927888,0.0289627529362169,0.427664493913331
"IGHV3-7",180.979752819317,-2.79613592995481,0.70124878711253,-3.98736651148904,6.68107729611731e-05,0.00628693326864814
"TCIM",4737.16428392314,-2.7956516755348,0.73265574577477,-3.81577799895427,0.000135754518335308,0.0110148168626857
"ABCA6",209.715202394624,-2.79360367156968,0.772889242146735,-3.61449418523451,0.000300934569724011,0.0207175864169738
"ADAMTS1",4103.29559682544,-2.79153131726093,0.542657446723134,-5.14418687906661,2.68681975708247e-07,7.00467124539059e-05
"PTGS2",2877.37624965759,-2.78979650104584,0.756820946905946,-3.68620413117681,0.000227623794668767,0.0164540963937155
"FAM66D",14.3916644704285,-2.76855168620244,1.74590178299121,-1.58574308885757,0.112797600380594,0.789559533659849
"LRRN4",240.526417295361,-2.764640834842,0.74314188828377,-3.72020589665148,0.000199060427817331,0.0150745618265667
"NXF3",22.8358170212539,-2.74415439390317,1.71715863577434,-1.59807855647868,0.110025495268371,0.782179459657085
"RPS6KA6",14.3927231737652,-2.74250879947753,1.82942803074842,-1.49910723645989,0.133845814594014,0.839894382349083
"KRT16P6",27.4009852733151,-2.74097072208776,1.48876618748102,-1.84110221278296,0.0656065814769217,0.635684598019659
"AC011511.5",55.0263229552911,-2.7266358016589,1.44110789493367,-1.89204140178859,0.0584854647576799,0.600448254384366
"MAFF",1430.14121464021,-2.72444442906786,0.762949758916289,-3.57093556584607,0.000355708400682817,0.0232791386669088
"CASS4",374.094931043427,-2.72432035931763,0.655261466972236,-4.15760806431345,3.2159715897058e-05,0.00355163862438135
"KCNA3",146.445189725195,-2.7203852052697,0.800962538098324,-3.39639505703793,0.00068279734040944,0.0363161408178305
"LINC00322",20.1023813151989,-2.71721059683418,1.56499880256876,-1.73623813153991,0.0825217375343365,0.697683780972118
"TBX3",292.992340544348,-2.70958774107158,0.700807250861501,-3.86638085970242,0.000110462388457215,0.00924570191386885
"TGFBR3",756.290446112787,-2.70943820611284,0.590392609616792,-4.58921429906018,4.44917488337746e-06,0.000777529979893975
"RSPH4A",50.8792864191759,-2.68823394892608,1.04789939826806,-2.56535498862688,0.0103070294383344,0.239989295985112
"ZFY",24.0789266194636,-2.6794261934233,1.83429250654378,-1.4607409580885,0.144086544266791,0.85917072121289
"B3GAT1-DT",43.6043824059918,-2.67860891964633,1.71629895111974,-1.56068901510355,0.118597144356298,0.801551375562346
"FYB2",152.713607006489,-2.65626399586463,0.741233657668999,-3.58357175012525,0.000338927606845401,0.0224581905485934
"SHISA3",181.960343903516,-2.64948192528923,1.03021768591012,-2.57176901690306,0.0101180372561587,0.238028323202208
"ALKAL2",34.9965182194388,-2.64640408167169,1.3216161802271,-2.00239988074068,0.0452417413031081,0.536524542836188
"MOXD1",871.726898194779,-2.6333188268579,0.538750791766262,-4.88782358578949,1.01956828469405e-06,0.000219110735560669
"C1orf87",21.0816333410681,-2.63024071726341,1.55951375636218,-1.68657743898256,0.0916846331315416,0.725447224442282
"PRKG2",28.9592306214166,-2.62748512981579,1.43733281728148,-1.82802834404444,0.0675452978676453,0.644089034667707
"FOXF1",326.055831791409,-2.62654785007449,0.727207273962983,-3.61182835226727,0.000304045795801952,0.0208415529768898
